accelerometer_X,accelerometer_Y,accelerometer_Z,id_name,id_file
5.061342,-13.785813,10.333375,3,16
2.499547,-4.788403,0.019154,3,16
5.923255,-18.195932,10.486604,3,16
2.5953150000000003,-7.762002000000001,-10.606314,3,16
-6.287173,-20.60929,-38.08696,3,16
1.4987700000000002,-14.719551999999998,-5.975927,3,16
4.936844000000001,-19.177555,17.492037,3,16
5.00867,-9.591172,-1.522712,3,16
0.21069,-4.065354,1.5370780000000002,3,16
-0.47884,-12.210428,-0.301669,3,16
-0.153229,-10.213664,-1.7525560000000002,3,16
0.6272810000000001,-7.627927000000001,-3.270479,3,16
1.264139,-7.517792999999999,0.493206,3,17
-1.086968,-5.717354,2.499547,3,17
-2.614468,-8.508992999999998,-0.071826,3,17
-1.522712,-16.82645,-2.791639,3,17
4.31914,-13.091495,-0.411803,3,17
0.430956,-15.255854,-5.688623000000001,3,17
5.061342,-14.508862,-22.663513,3,17
2.82037,-9.710882000000002,-3.806781,3,17
2.753332,-11.559206,-10.630256,3,17
0.9912,-8.935161,-0.1723829999999999,3,17
-3.600879,-3.524265,0.957681,3,17
-2.082955,-11.808203,0.229843,3,17
-1.8579,-4.3766,2.327164,3,17
-2.130839,-12.421119,-0.2585739999999999,3,17
-6.478708999999999,-20.39381,1.177947,3,17
0.35913,-22.716187,7.800308999999999,3,17
3.380613,-11.070788,-2.403778,3,17
2.806004,-10.754754,3.672706,3,17
-6.478708999999999,-22.16073,0.162806,3,17
5.272033,-25.546135,-8.652645,3,17
-2.264915,-17.348385,-2.834735,3,17
-7.426813,1.345541,-2.686294,3,17
-0.694318,-15.030798,-5.501875,3,17
-0.632069,-14.848839000000002,-11.224017,3,17
3.782839,-11.597513,-2.94008,3,17
-0.507571,-5.104438,-2.111686,3,17
1.369483,-4.520251999999999,-2.863465,3,17
2.494758,-11.36767,-2.255338,3,17
2.054225,-5.640739,1.56102,3,17
-2.662352,-8.145074000000001,-5.1666870000000005,3,17
-0.933739,-9.188946,10.007763,3,18
4.347871,-7.354986999999999,-6.277597,3,18
5.061342,-13.785813,10.333375,3,18
2.499547,-4.788403,0.019154,3,18
5.923255,-18.195932,10.486604,3,18
2.5953150000000003,-7.762002000000001,-10.606314,3,18
-6.287173,-20.60929,-38.08696,3,18
1.4987700000000002,-14.719551999999998,-5.975927,3,18
4.936844000000001,-19.177555,17.492037,3,18
5.00867,-9.591172,-1.522712,3,18
0.21069,-4.065354,1.5370780000000002,3,18
-0.47884,-12.210428,-0.301669,3,18
-0.153229,-10.213664,-1.7525560000000002,3,18
0.6272810000000001,-7.627927000000001,-3.270479,3,18
1.177947,-5.415684,-2.059013,3,18
3.466804,-5.406107,-2.633622,3,18
0.057461,-6.445191,-3.069367,3,18
5.88016,-6.900089,-3.509899,3,18
4.774039,-9.251195,-2.600103,3,18
0.766145,-4.089296,-0.833182,3,18
5.865794,-9.840169,-1.23062,3,18
-1.446098,-4.903325,-0.512359,3,18
2.600103,-7.929596000000001,0.5841850000000001,3,18
-1.766921,-5.295974,0.766145,3,18
0.430956,-7.699753,-0.579397,3,18
0.8475469999999999,-9.337387,-3.797204,3,18
-1.8579,-7.623138000000001,9.021352,3,18
0.272939,-11.860875,-2.920926,3,18
2.499547,-7.843405000000001,-3.620033,3,18
-4.76925,-9.648633,-12.382812,3,18
-2.911349,-8.556877,-1.848324,3,19
-3.002329,-13.148955,0.646435,3,19
-5.06613,-9.428367,0.732626,3,19
-8.614338,-15.021221,-1.436521,3,19
0.349553,-6.5792660000000005,-6.995857000000001,3,19
-2.920926,-10.726024,-0.148441,3,19
-3.653552,-10.951078,-4.003105000000001,3,19
-9.332599,-18.492813,-6.440402,3,19
-5.755661,-13.891158,1.273715,3,19
-7.196969999999999,-11.358092999999998,1.685518,3,19
